X,u
0.793,-6.89078
0.794,-6.90073
0.795,-6.91068
0.796,-6.92062
0.797,-6.93057
0.798,-6.94052
0.799,-6.95046
0.8,-6.96041
0.801,-6.97036
0.802,-6.9803
0.803,-6.99025
0.804,-7.0002
0.805,-7.01015
0.806,-7.02009
0.807,-7.03004
0.808,-7.03999
0.809,-7.04993
0.81,-7.05988
0.811,-7.06983
0.812,-7.07977
0.813,-7.08972
0.814,-7.09967
0.815,-7.10962
0.816,-7.11956
0.817,-7.12951
0.818,-7.13946
0.819,-7.1494
0.82,-7.15935
0.821,-7.1693
0.822,-7.17925
0.823,-7.18919
0.824,-7.19914
0.825,-7.20909
0.826,-7.21904
0.827,-7.22898
0.828,-7.23893
0.829,-7.24888
0.83,-7.25883
0.831,-7.26877
0.832,-7.27872
0.833,-7.28867
0.834,-7.29862
0.835,-7.30857
0.836,-7.31851
0.837,-7.32846
0.838,-7.33841
0.839,-7.34836
0.84,-7.3583
0.841,-7.36825
0.842,-7.3782
0.843,-7.38815
0.844,-7.3981
0.845,-7.40804
0.846,-7.41799
0.847,-7.42794
0.848,-7.43789
0.849,-7.44784
0.85,-7.45778
0.851,-7.46773
0.852,-7.47768
0.853,-7.48763
0.854,-7.49758
0.855,-7.50752
0.856,-7.51747
0.857,-7.52742
0.858,-7.53737
0.859,-7.54732
0.86,-7.55726
0.861,-7.56721
0.862,-7.57716
0.863,-7.58711
0.864,-7.59706
0.865,-7.60701
0.866,-7.61695
0.867,-7.6269
0.868,-7.63685
0.869,-7.6468
0.87,-7.65675
0.871,-7.6667
0.872,-7.67665
0.873,-7.68659
0.874,-7.69654
0.875,-7.70649
0.876,-7.71644
0.877,-7.72639
0.878,-7.73634
0.879,-7.74628
0.88,-7.75623
0.881,-7.76618
0.882,-7.77613
0.883,-7.78608
0.884,-7.79603
0.885,-7.80598
0.886,-7.81592
0.887,-7.82587
0.888,-7.83582
0.889,-7.84577
0.89,-7.85572
0.891,-7.86567
0.892,-7.87562
0.893,-7.88557
0.894,-7.89551
0.895,-7.90546
0.896,-7.91541
0.897,-7.92536
0.898,-7.93531
0.899,-7.94526
0.9,-7.95521
0.901,-7.96516
0.902,-7.97511
0.903,-7.98505
0.904,-7.995
0.905,-8.00495
0.906,-8.0149
0.907,-8.02485
0.908,-8.0348
0.909,-8.04475
0.91,-8.0547
0.911,-8.06465
0.912,-8.07459
0.913,-8.08454
0.914,-8.09449
0.915,-8.10444
0.916,-8.11439
0.917,-8.12434
0.918,-8.13429
0.919,-8.14424
0.92,-8.15419
0.921,-8.16414
0.922,-8.17409
0.923,-8.18403
0.924,-8.19398
0.925,-8.20393
0.926,-8.21388
0.927,-8.22383
0.928,-8.23378
0.929,-8.24373
0.93,-8.25368
0.931,-8.26363
0.932,-8.27358
0.933,-8.28353
0.934,-8.29347
0.935,-8.30342
0.936,-8.31337
0.937,-8.32332
0.938,-8.33327
0.939,-8.34322
0.94,-8.35317
0.941,-8.36312
0.942,-8.37307
0.943,-8.38302
0.944,-8.39297
0.945,-8.40292
0.946,-8.41287
0.947,-8.42282
0.948,-8.43276
0.949,-8.44271
0.95,-8.45266
0.951,-8.46261
0.952,-8.47256
0.953,-8.48251
0.954,-8.49246
0.955,-8.50241
0.956,-8.51236
0.957,-8.52231
0.958,-8.53226
0.959,-8.54221
0.96,-8.55216
0.961,-8.56211
0.962,-8.57206
0.963,-8.58201
0.964,-8.59195
0.965,-8.6019
0.966,-8.61185
0.967,-8.6218
0.968,-8.63175
0.969,-8.6417
0.97,-8.65165
0.971,-8.6616
0.972,-8.67155
0.973,-8.6815
0.974,-8.69145
0.975,-8.7014
0.976,-8.71135
0.977,-8.7213
0.978,-8.73125
0.979,-8.7412
0.98,-8.75115
0.981,-8.7611
0.982,-8.77105
0.983,-8.781
0.984,-8.79094
0.985,-8.80089
0.986,-8.81084
0.987,-8.82079
0.988,-8.83074
0.989,-8.84069
0.99,-8.85064
0.991,-8.86059
0.992,-8.87054
0.993,-8.88049
0.994,-8.89044
0.995,-8.90039
0.996,-8.91034
0.997,-8.92029
0.998,-8.93024
0.999,-8.94019
